#: table_doi: 10.17182/hepdata.62026.v1/t13   
#: name: Table 13   
#: description: v2{SP Deltaeta=0.2} (blue filled circles).  
#: data_file: Table13.yaml   
#: keyword reactions: PB PB --> CHARGED X   
#: keyword observables: V   
#: keyword phrases: Inclusive   
#: keyword cmenergies: 2760.0   
#: RE PB PB --> CHARGED X  
#: ABS(DELTA(ETA)) > 0.2  
#: SQRT(S)/NUCLEON [GeV] 2760  
pT y dy
0.25 0.039506 0.000453
0.35 0.054606 0.000449
0.45 0.068971 0.000471
0.55 0.084048 0.000511
0.65 0.096809 0.000564
0.75 0.109131 0.000626
0.85 0.119861 0.000697
0.95 0.130735 0.000777
1.1 0.145594 0.000643
1.3 0.161632 0.000799
1.5 0.180863 0.000986
1.7 0.194553 0.00122
1.9 0.208946 0.001512
2.1 0.218347 0.001867
2.3 0.223919 0.002282
2.5 0.230006 0.002804
2.7 0.237168 0.003396
2.9 0.243976 0.004077
3.2 0.239478 0.003726
3.6 0.237796 0.005269
4 0.229257 0.007165
4.4 0.211401 0.01068
4.8 0.199559 0.010646
