#: table_doi: 10.17182/hepdata.62026.v1/t14   
#: name: Table 14   
#: description: v2{SP Deltaeta=1.0} (blue open circles).  
#: data_file: Table14.yaml   
#: keyword reactions: PB PB --> CHARGED X   
#: keyword observables: V   
#: keyword phrases: Inclusive   
#: keyword cmenergies: 2760.0   
#: RE PB PB --> CHARGED X  
#: ABS(DELTA(ETA)) > 1.0  
#: SQRT(S)/NUCLEON [GeV] 2760  
pT y dy
0.25 0.039107 0.000746
0.35 0.053955 0.000744
0.45 0.068788 0.00079
0.55 0.083037 0.000867
0.65 0.095749 0.00096
0.75 0.10708 0.001069
0.85 0.119547 0.001187
0.95 0.127823 0.001321
1.1 0.143002 0.001091
1.3 0.160203 0.001339
1.5 0.180128 0.001642
1.7 0.191935 0.002016
1.9 0.201014 0.002483
2.1 0.210955 0.00305
2.3 0.220726 0.003736
2.5 0.22758 0.004558
2.8 0.24464 0.004267
3.2 0.23065 0.006108
3.6 0.234024 0.008517
4 0.220566 0.011491
4.4 0.21736 0.017248
4.8 0.208241 0.017496
